L0 Level,Translated Description,Translated Short Description,Reported Problem Code L1,Reported Problem Code L,Reported Problem Code L3
Software,Change on password for FSE_Admin user in local ISPv12.1.6 server,FSE_Admin local ISP user password fix,,,
Software,Dr Kennedy is unable to save spinning MIP images out of memory error displayed,Unable to save AVA spinning MIP,,,
Software,Management requested a license file change to unlock new features for some local NeuroQ features (amyloid),ISPv12.1.6 - license file replacement,,,
Software,"Issue: Malfunction
Error description: There are several ""failed"" orders again in the queue. Please look at it again.","There are several ""failed"" appearing in the queue again",,,
Software,"Customer question about CaseID# 0117970235 by email about the current status

An overlay batch created in the Spectral Viewer cannot be linked with the original images, that is not possible in the PACS nor in the ISP MMV, the error can be reproduced on the client and server - > error was addressed via ICAP application M. Kusch direction L3",Probleme mit Bildsynchronisation in IMPAX,,,
Software,"Issue report by customer via email. Issue as explained by the customer:
Hi ? 
We are having some trouble with Concerto. 
Can one of you give us a hand?

It started out with studies failing to open through the integration.
I pulled 10.244.150.53 from the Concerto dashboard ? and rebooted it.
The issue seems to have gone away ( we can load studies through the integration ) but now that server is hung at this screen.",Concerto server is hung up - Customer unable to open application,,,
Software,"THE PROBLEM IS THAT (THE ISP) IS NOT CONNECTED TO PACS, TO THE CLOUD OR TO PRINTERS, SO IT IS NOT BEING USED, CAN YOU HELP ME BY CONNECTING IT TO THE SYSTEM","EL PROBLEMA ES QUE (LA ISP) NO EST? CONECTADA NI AL PACS, NI A NUBE, NI A IMPRESORAS, POR LO QUE NO SE EST?...",,,
Software,101531950,License Installation,,,
Software,Management requested a license file change to unlock new features for some local NeuroQ features (amyloid),ISPv12.1.6 - license file replacement,,,
Software,ACR Processing questions-physicist,ACR Processing questions,,,
Software,critical error occur,critical error occur,,,
Software,need to add new dicom pacs node,need to add new dicom pacs node,,,
Software,cannot connect to license server,cannot connect to license server,,,
Software,01/IntelliSpace IX/LX Workstations/add ACC NO,01/IntelliSpace IX/LX Workstations/add ACC NO,,,
Software,05R/Extended Brilliance Workspace/recon,05R/Extended Brilliance Workspace/recon,,,
Software,05R/Extended Brilliance Workspace/crash,05R/Extended Brilliance Workspace/crash,,,
Software,02N/IntelliSpace IX/LX Workstations/add node,02N/IntelliSpace IX/LX Workstations/add node,,,
Software,05R/Extended Brilliance Workspace/viral impact,05R/Extended Brilliance Workspace/viral impact,,,
Software,Problem connecting to the ISP application with an error message saying in intelispace portal license is invalid and another message saying please replace license key or contact your local Philips representative,ISP connection problem,,,
Software,The user RMONMANY cannot download studies from the RM or the PACS.,You can't download studies or RM or PACS,,,
Software,Space issue,Remote Alert: D Drive running out of free space,,,
Software,Log in problems.,Log in probl?m?k,,,
Software,into,AVW15: Users unable to use clients,,,
Software,"Via Ms. Heuser, App: Preprocessing for brain perfusions does not work.",Preprocessing does not work,,,
Software,could not login in application and service,could not login in application and service,,,
Software,EBW System is not booting up,EBW System is not booting up,,,
Software,into,"ISP12 MR cardiac T1 mapping doesn't load with the study, customer need to add them manually",,,
Software,"Tique: 2482540 - ""waiting to receive the start-up order from the internal server"". 
When trying to open the Philips IntelliSpace program, the opening does not progress with a message that says ""waiting to receive the start order from the internal server"". We have restarted and turned off the computer but it still does not work, can you help us? Thank you","Tike: 2482540 - ""Waiting to receive the start order from the internal server.""",,,
Software,"Observation of slowness when using the concerto (over several weeks).
Checked the usage rates and slowness.",ISP - BRON - slowness of slowness on the use of the concerto,,,
Software,UVM GPO updates on production servers,UVM GPO updates on production servers,,,
Software,"EQUIPMENT STILL HAS PROBLEMS, EQUIPMENT NOT OPERATIONAL, SAME SYMPTOMS ARE REPEATED (EQUIPMENT RESTARTS)",Team continues in fault,,,
Software,Freezes during pulling report and have to reboot,Freezes during pulling report and have to reboot,,,
Software,"The Workstation is not connecting with the PACS, it is not able to send/pull exams.","Workstation is not connecting with PACS, not to send/pull tests.",,,
Software,Customer reported that system crashing during the post process of studies.,ISP - system crashing,,,
Software,Not enough storage -- Users are reporting error,Not enough storage -- Users are reporting error,,,
Software,Transfers to STH_ARCHIVE failing.,Transfers to STH_ARCHIVE failing.,,,
Software,VIP-CLIENT-WORKSTATION SENDS ERROR OF FAILURE WITH THE SERVER,VIP-CLIENTE-ESTACI?N DE TRABAJO MANDA ERROR DE FALLA CON EL SERVIDOR,,,
Software,Wechat:05R/IntelliSpace Portal Solutions/auto delete,Wechat:05R/IntelliSpace Portal Solutions/auto delete,,,
Software,Wechat:SA:05K for IB/IQon Spectral CT/Workstation cannot enter,Wechat:SA:05K for IB/IQon Spectral CT/Workstation cannot enter,,,
Software,Wechat:01/Extended Brilliance Workspace/Slow computer response,Wechat:01/Extended Brilliance Workspace/Slow computer response,,,
Software,05R/Extended Brilliance Workspace/Data loss after restart,05R/Extended Brilliance Workspace/Data loss after restart,,,
Software,Wechat:01/Brilliance Workspace Portal/Portal cannot log in,Wechat:01/Brilliance Workspace Portal/Portal cannot log in,,,
Software,05R/IntelliSpace IX/LX Workstations/Software failure,05R/IntelliSpace IX/LX Workstations/Software failure,,,
Software,SA:02N/IntelliSpace Portal Solutions/Transmission failure,SA:02N/IntelliSpace Portal Solutions/Transmission failure,,,
Software,"The problem with the ISP DynaCad server has started on January 1, 2023.
The breast MRI examinations described since then (with a few exceptions) have not been automatically transferred from ISP's local database to the DynaCad server, as it should be. 
The transfer of images manually from the Local database to the ISP DynaCad server has also not been successful. On the subject, DynaCad analyzes have not been performed at all after the failure occurred.",Issues with DynaCad server,,,
Software,The server does not start.,Do not start,,,
Software,02N/IntelliSpace IX/LX Workstations/add DICOM notes,02N/IntelliSpace IX/LX Workstations/add DICOM notes,,,
Software,ISP system software update to version 12.1.7.,ISP software update to version 12.1.7,,,
Software,"Hello

We are seeing a Certificate Error each time we login to ISP - please could someone take a look?
[image001 attached]

If this is just a case of asking IT to add our global wildcard cert onto the server and register in iis please let me know and I will ask them to do that.

Many thanks
Jamie",ISP - BSU00 - Certificate Error,,,
Software,into,ISP12 MR CAAS MR 4D flow/ Strain can't save results to the PACS,,,
Software,PPAI-5 PO - Studies that stay in the CHP ERROR download,PPAI -5 PO - Studies that stay in the error download CHP,,,
Software,Unit is down/ Needs error log to be looked at.,Unit is down/ Needs error log to be looked at.,,,
Software,Deleting a user or folder inquiry,Deleting a user or folder inquiry,,,
Software,Reloaded software.,Ricarica software,,,
Software,Configure intellispace connection with CT equipment with serial 95716511 and 9721910,Configure intellispace connection with CT equipment with serial 95716511 and 9721910,,,
Software,"Studies are sometimes not transmitted from the CT.
Call of the ISP on the client appears to be disturbed, or certain application servers.",ISP Problem,,,
Software,AVA bone removal fail message need bug report,AVA bone removal fail message need bug report,,,
Software,ISP performance issues when launched from PACS integration,ISP performance issues when launched from PACS integration,,,
Software,Masked Prone data not saving as expected-using custom preference in AutoSpect,Masked Prone data not saving as expected-using custom preference in AutoSpect,,,
Software,update PACS,update PACS,,,
Software,How to login and chance diacom destination,0902CFXXXS09        How to login and chance diacom destination,,,
Software,Install Autoquant Limit files for a Spectrum-Dynamics NM camera,Install Autoquant Limit files for a Spectrum-Dynamics NM camera,,,
Software,Console reporting system not switching on,Console reporting system not switching on,,,
Software,ISP not functioning,ISP not functioning,,,
Software,The application does not run.,08ids: ????????????????????????????,,,
Software,"The connection with the client has stopped working, connection error with the address 10.51.10.30 port 780 connection time 4999 ms OT874594
Brilliance CT64
Radiodiagnostics Department",The connection with the client has stopped working OT874594,,,
Software,"Issue: Malfunction
Description of error: The three D displays that are made on the Intellispace can only be sent into the PACS via the work list.
Error message:-",Problems with Intellispace,,,
Software,"The autodelete function has not started... should start by 1000Gb free, new is less thatn 600Gb free",AutoDelete is not working.,,,
Software,Temporary folders are not deleted at directory level.,ISP12 PD Temporary folders are not deleted at directory level.,,,
Software,They cannot log in to the Intellispace Portal,It is not possible to log in to the IntellisPace Portal,,,
Software,Filiming in the ISP is not required to send or select the file.,Problem of sending or selection of file,,,
Software,User need the UID fixed.,User need the UID fixed.,,,
Software,"We request if possible the configuration of the Drystar AXIS printer.
Drystar
IP 172.16.81.60
AeTitle AXYS
Port104
Hostname axys",Loria Isportal - AGFA DRYSTAR AXIS PRINTING,,,
Software,Unable to find patients,Unable to find patients,,,
Software,SW Upgrade to R12.1.6,SW Upgrade a R12.1.6,,,
Software,ISP Movies Issue - Movies Full,ISP Filmer issue,,,
Software,User are having problems with one study within the system.,User are having problems with one study within the system.,,,
Software,"remove devices receive ""error opening file unit 101""",ISPv11: NeuroQ error message for remote workstations,,,
Software,Has no worklist,x35116 Has no worklist,,,
Software,License Install,License Install - Concerto Engine,,,
Software,VIP-ERROR: IT CANNOT RECOVER AUTHENTICATION SOURCES.,VIP-error: You cannot recover sources of authentication,,,
Software,system down after rebooting due to RAM consumption peak,ISP system down,,,
Software,License Install - Server1,License Install - Server1,,,
Software,License Install - Server2,License Install - Server2,,,
Software,License Install - Server3,License Install - Server3,,,
Software,02G/IntelliSpace IX/LX Workstations/Customer consultation,02G/IntelliSpace IX/LX Workstations/Customer consultation,,,
Software,Cannot access Standalone from the ISP Master>> Standone power was not on> was turned on and access was possible.,01CS:KKI:ISP Master??Standalone???????????Standalone??????????????????????????,,,
Software,ISP customer does not start up anymore,ISP customer no longer starts,,,
Software,MR NeuroQuant is not working in newly installed ISP v12.1.6 Server and clients.,MR NeuroQuant is not working in newly installed ISP v12.1.6 Server and clients.,,,
Software,"Disorder:
Failure:
Calculation of the SPM not possible in the FMRT tool",Calculation of the SPM is not possible in the FMRI Tool,,,
Software,They are not downloaded or the download of previous studies is very slow,The discharge of previous ones is not downloaded or very slow,,,
Software,Does not pull the studies,I don't pull the exams,,,
Software,Unable to transfer data from main system to other systems,Unable to transfer data from main system to other systems,,,
Software,"Each time the users perform a Cardiac RM postprocessing of any study, the server sends a message and they cannot do anything.","Every time users perform a cardiac RM postprocess of any study, the server sends a message and ...",,,
Software,Security is questioning the programs they are running on the server.,Security is questioning the programs they are running on the server.,,,
Software,"will not send to cardiac pacs, after software load","will not send to cardiac pacs, after software load",,,
Software,Software Issues - Error Message - Slice issues,Software Issues - Error Message - Slice issues,,,
Software,user getting .net error - Unhandled exception has occurred in a component in your application..,User getting .net error,,,
Software,Slow,Slow,,,
Software,05R/IntelliSpace IX/LX Workstations/login failed,05R/IntelliSpace IX/LX Workstations/login failed,,,
Software,02N_148_RAD_ISP_LNA app can not use,02N_148_RAD_ISP_LNA app can not use,,,
Software,OCAP:05R/Extended Brilliance Workspace/ SW error,OCAP:05R/Extended Brilliance Workspace/ SW error,,,
Software,ISP not responding. Case raised by CT applications specialist while onsite.,ISP not responding,,,
Software,01/IntelliSpace IX/LX Workstations/modify IP,01/IntelliSpace IX/LX Workstations/modify IP,,,
Software,portal viewer not functioning,portal viewer not functioning,,,
Software,Issue malfunction: does not connect with the Internet.,does not connect to the Internet,,,
Software,Occasional crashes on MRI applications.,Occasional crash on MR applications.,,,
Software,"Caution: This e-mail originated from outside of Philips, be careful for phishing. 

Hello support,

There are 12 failed studies in the ISP-Dynacad application.
I restarted the services and tried to resend the jobs.
There are a number of images that fail, but the column next to it says that everything is in.
Can you see what this is because of?

 

Thanks in advance!
Regards Kyra

On behalf of Maastricht UMC+: 
___________________________________________
Kyra van Eijsden
Application specialist Imaging & Employee Peer Support 

Service company Medical instrumentation and information technology (MIT)
Visiting address: P. Debyelaan 25 | 6229 HX Maastricht 
Location: MUMC+ | Level 1, room 1.E1.053
Mailing address: Postbus 5800 | 6202 AZ Maastricht
Maastricht UMC+ is a trade name of azM, KvK no.:14124959
 
E. kyra.van.eijsden@mumc.nl | T +31 (0) 43-3874083 | M. +31 (0) 6-82336300
I www.mumc.nl | www.gezondidee.mumc.nl
Follow us on twitter, Facebook and linkedin

________________________________________
This e-mail and any attachments may contain confidential or privileged information and is intended for the addressee only. If you are not the intended recipient, please immediately notify us by e-mail or telephone and delete the original e-mail and attachments without using, modifying or reproducing its contents to anyone other than the intended recipient. The Maastricht UMC+ shall not be liable for the incorrect or incomplete transmission of this e-mail or any attachments, nor for unauthorized use by its employees. 
________________________________________",Error messages Dynacad,,,
Software,"Issue: Malfunction
Error description: System logged out user. Logging in is not possible. Restart without success",Log in not possible,,,
Software,Dicom export problems,Dicom-Exportprobleme,,,
Software,"Issue malfunction: 
After today's patches, there is an fm.
Fm: insufficient resources, all are used","FM: Inadequate resource, all are used",,,
Software,"This device is OPERATIONAL, but we're NOT able to copy a table","This device is OPERATIONAL, but we're NOT able to copy a table",,,
Software,01/IntelliSpace IX/LX Workstations/Account password,01/IntelliSpace IX/LX Workstations/Account password,,,
Software,"slowly updating ist , they are unable to get on the AVA","slowly updating ist , they are unable to get on the AVA",,,
Software,SA:05R/IntelliSpace IX/LX Workstations/software crash,SA:05R/IntelliSpace IX/LX Workstations/software crash,,,
Software,Getting PC password incorrect,Getting PC password incorrect,,,
Software,ISP system is not working,ISP system is not working,,,
Software,01/IntelliSpace IX/LX Workstations/add Print film,01/IntelliSpace IX/LX Workstations/add Print film,,,
Software,05R/Extended Brilliance Workspace/Data loss,05R/Extended Brilliance Workspace/Data loss,,,
Software,05R/Extended Brilliance Workspace/Software stuck,05R/Extended Brilliance Workspace/Software stuck,,,
Software,software intermittent issue,software intermittent issue,,,
Software,An examination cannot be loaded and no examination goes to the other site in HENIN BEAUMONT.,"Contactel 06/02/2023	10:58",,,
Software,"Problem connecting to the portal, problem with the server.",connection problem,,,
Software,"Caution: This e-mail originated from outside of Philips, be careful for phishing. 

Best

Several users no longer get to see ROI values and 3D measurement values in IntelliSpace Portal when they go to Step 2 on a CTA STROKE examination in Brain Perfusion.
Under Brain Perfusion they select an Artery and Vein via 'use for calculation', after which they click on the arrow to go to Perfusion Maps:
 

In Perfusion Maps all images are then well visible, but there are no values with ROI measurements or 3D measurements:
 

The error message they see is: ""Scan duration is shorter than the ""Permeability scan duration"" value in the Perfusion Maps Parameters tab, therefore, permeability measurements are not available."":
 

Is this a known problem?
How can we get the values visible again?

Sincerely

Tim Polman

 

Ict employee | Division Image, Technical Cluster Radiology
University Medical Center Utrecht | Room number E01.3.33 | P.O. Box 85500 | 3508 GA UTRECHT
T: +31 88 75 632 31 | T: +31 88 75 673 99 | www.umcutrecht.nl

________________________________________
The information contained in this message may be confidential and is exclusively intended for the addressee. If you receive this message unjustly, you are requested not to use the contents and inform the sender immediately by returning the message. The University Medical Center Utrecht is a public legal person within the meaning of the W.H.W. (Law Higher Education and Scientific Research) and is registered with the Chamber of Commerce for Midden-Nederland under no. 30244197. 
Please consider the environment before printing this e-mail. 
________________________________________
This message may contain confidential information and is intended exclusively for the addressee. If you receive this message unintentionally, please do not use the contents but notify the sender immediately by return e-mail. University Medical Center Utrecht is a legal person by public law and is registered at the Chamber of Commerce for Midden-Nederland under no. 30244197. 
Please consider the environment before printing this e-mail.",Brain perfusion missing values,,,
Software,Network tests of servers performed.,Penetrate tests server?,,,
Software,No data data are being reassembled even manually.,Donn's remote,,,
Software,"Issue: Malfunction
Error description: System does not connect with the server 01 IP 10332425",System no longer connects to the server 01 IP 10332425,,,
Software,"When attempting to update to ISP 12.1.7 the installer stops doing SQL updates. 
logs attached,
 you can connect directly using PRS  
EMEA ? 
 UNITED KINGDOM ? 
 Cities ? 
 Belfast ? 
 Royal Victoria Hospital ? 
 IM_UK161055_Serial_BELPHCONISP01",Unable to update BELPHISPTEST01 to 12.1.7 installer crashes,,,
Software,Trial License Install - Server 1,Trial License Install - Server 1,,,
Software,Trial License Install - Server 4,Trial License Install - Server 4,,,
Software,Trial License Install - Server 5,Trial License Install - Server 5,,,
Software,Users are unable to access the Portal,Users are unable to access the Portal,,,
Software,Trial License Install - Server 3,Trial License Install - Server 3,,,
Software,Trial License Install - Server 2,Trial License Install - Server 2,,,
Software,Trial License Install - Server 6,Trial License Install - Server 6,,,
Software,Trial License Install - Server 7,Trial License Install - Server 7,,,
Software,Trial License Install - Server 8,Trial License Install - Server 8,,,
Software,License Install,License Install,,,
Software,"65725597 ERROR CAN NOT FIND ONE OR MORE SLICES ON SERVER, PLEASE REBUILD THE DATABASE...MODULES WILL BE CLOSED (MOSTLY SEEN WHEN CREATING REPORT)","65725597 ERROR CAN NOT FIND ONE OR MORE SLICES ON SERVER, PLEASE REBUILD THE DATABASE...MODULES WILL BE CLOSED...",,,
Software,unable to copy a study to PACS,Unable to copy studies to PACS,,,
Software,05R/Extended Brilliance Workspace/repeat case,05R/Extended Brilliance Workspace/repeat case,,,
Software,SA:02N/IntelliSpace Portal Solutions/stuck,SA:02N/IntelliSpace Portal Solutions/stuck,,,
Software,"Preprocessing error: internal SW service, reported by clinical apps while onsite",Preprocessing error: internal SW service,,,
Software,"Crash when saving batches, as reported by clinical apps during user training",Crash when saving batches,,,
Software,"Impossible to retrieve the old examinations, plus the LOGO of the PACS, on all the sites.",Examination recuperation problem,,,
Software,Cannot open several tabs.,program opening problem,,,
Software,05R/IntelliSpace IX/LX Workstations/password,05R/IntelliSpace IX/LX Workstations/password,,,
Software,Patient data not transfering to PACS,Patient data not transfering to PACS,,,
Software,v12.1.7 update work,YY:v12.1.7????????,,,
Software,"Discharge the equipment from Lanzarote in the Maspalomas workstation.
E10610	Scanning systems, by Magnetic Resonance Image	GENERAL ELECTRIC	MR SIGNA VOYAGER	GPQ18712",MVL. Wendolyne: 608446283 (Maspalomas) MVL. Lorenzo: 618347343 (Lanzarote),,,
Software,ISP not booting,ISP not booting,,,
Software,"Message:

Customer urgently asks for contact regarding the topics listed below.

1 . For 3 years, no more updates were installed on the ESXi hosts (over 1060 days uptime)
2. Vcenter is very outdated, there were already a lot of critical security updates from VMWare
3. The administrator@vsphere.local<mailto:administrator@vsphere.local> The current password does not conform to IT security (if that is changed * set at least 15 and complex please *we will also need this)
4. Current danger from CIMSLP. There is a workaround from VMWare How to Disable/Enable the SLP Service on VMWare ESXi (76372)<https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fkb.vmware.com%2Fs%2Farticle%2F76372&data=05%7C01%7C%7C4625bbf4b4a94cc0933308db08ee2dd2%7C1a407a2d76754d178692b3ac285306e4%7C0%7C0%7C638113591289014995%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=8%2Bv6xwdiqAam1sVoitklhYCOChPsJKUWbj0U4OcJCVE%3D&reserved=0>.

Item 4. Is currently the most critical issue and must be addressed as soon as possible.",Security problems in the VMware environment of Philips (PPSISPVCS),,,
Software,We had an issue with the result of the CT DXA For one patient  a different reading from X-RAY BMD,BMD issue,,,
Software,Configure PACS,Configure pacs,,,
Software,Scheduled reboot due to very high server uptime,ISP server reboot,,,
Software,into,ISP12: AVA Automatic Extend distally/proximally bring additional other tissues than the vessel_TFS1537802,,,
Software,Needs to ensure they are performing the correct procedure to add a modality to their IntelliSpace Portal/Original Case 0121175922 was created against the wrong product,Needs to ensure they are performing the correct procedure to add a modality to their IntelliSpace Portal/Original...,,,
Software,license key update,license key update,,,
Software,cannot connect to server,cannot connect to server,,,
Software,Error when opening Calcium scoring report Cannot load 1 or more slices please rebuild database,Error when opening Calcium Scoring-,,,
Software,Software was upgraded to V12.1.7.11104,SW upgrade na V12.1.7.11104,,,
Software,Preventive maintenance action to manually trigger auto-delete and reboot ISP server,Low disk alert and high server uptime,,,
Software,ISP crashes - AVA,ISP crashes - AVA,,,
Software,local users are not able to log into ISP,ISP not available,,,
Software,IT DOES NOT ALLOW ACCESS WITH A USER DIFFERENT FROM THE ADMINISTRATOR.,Does not allow access with a user other than administrator,,,
Software,Corrupted Software,Corrupted Software,,,
Software,01/Extended Brilliance Workspace/add the node,01/Extended Brilliance Workspace/add the node,,,
Software,Problem with repatriation of old examinations on the ISP.,repatriation problem,,,
Software,On the doctor's console it displays: impossible to retrieve the authentication sources of the server.,The device displays a message,,,
Software,Software Problem,Software Problem,,,
Software,"Request for update of DICOM destinations on EBW. Verify:
RA600_PS
AE TITLE RA600_MB
IP 10.206.75.201
Port 104

RA600_CT
AE TITLE RA600MBDR
IP 10.206.75.185
Port 104",Integration Request 0121173442,,,
Software,not able to retrieve the data,not able to retrieve the data,,,
Software,Problems with burning examinations.,Exam problems.,,,
Software,ISP system software update to version 12.1.7.,ISP software update to version 12.1.7,,,
Software,"Configure CT Iqon at Olivos Clinic in ISP of Zabala Clinic. The ISP is already configured in Iqon.
Details with FSE Fernando Racca.",Configure olive clinic ct node node in ISP station,,,
Software,"Sending examinations from ISP.
For robot use.",The survival is investigating from ISP to robot,,,
Software,"Issue: Malfunction
Description of error: Calculations do not arrive in the PACS",Calculations do not come to the Pacs,,,
Software,The processing of group policy failed. Windows could not authenticate to the Active Directory service on a domain controller. (LDAP bind function call failed). Look in the details tab for error code and description.,The processing of Group Policy failed,,,
Software,MR Cardiac Analysis Crash,ISP 12 MR cardiac - Study crash,,,
Software,"The tower does not turn on anymore, it stopped suddenly.",The tower does not light up,,,
Software,The lobby does not work anymore.,opening problem,,,
Software,into,ISP12 MR ADA doesn't work properly with GE dataset,,,
Software,"Despite update to V12.1.7, the ClearRead results are not transferred to PACS if the processing was performed by the slave server",ISP 12  LNA ClearRead results are not being transmitted to the PACS,,,
Software,ISP Upgrade and Hardware migration,ISP Upgrade and Hardware migration,,,
Software,Check of the database,Property of the database,,,
Software,IS PORTAL URL not working in Epic,IS PORTAL URL not working in Epic,,,
Software,"OLD EXAMINATIONS CANNOT BE DELETED MANUALLY, AND THE MEMORY IS AT 98% CAPACITY.","Old exams cannot be eliminated manually, and memory is 98% capacity.",,,
Software,"VIP-SEDENA-CLIENT-IT DOES NOT POSTPROCESS INFORMATION, IT SENDS AN ERROR THAT DOES NOT FIND THE DATA","VIP-SEEDA-CLIENTE- does not postprocess information, send error that does not find the data",,,
Software,ISP: unable to connect,ISP: unable to connect,,,
Software,VIP IMSS CUSTOMER - THE BURNER IN THE INTERTEST ROOM DISPLAYED A CRITICAL ERROR.,VIP IMSS CLIENTE EL QUEMADOR DEL CUARTO DE INTERPRETACI?N MARCO UN ERROR CR?TICO,,,
Software,error in volumetry,error in volumetry,,,
Software,Rebooted and will not come back up again.,Rebooted and will not come back up again.,,,
Software,cannot log in or retrieve authentication sources,cannot log in or retrieve authentication sources,,,
Software,Unable to save bookmarks,Unable to save bookmarks,,,
Software,"Unable to deploy automatized push package for ISP clients 12.1.5 and updates to 12.1.6, and 12.1.7 -  The customer is TEST deploying a client via powershell scripts in the following order:

1.	Uninstall 11.x
2.	Install 12.1.5 version
3.	Install 12.1.6 update
4.	Install 12.1.7 update 
5.	Install ExtNM apps
6.	Install Mirada

The installation fails when installing ISP v12.1. with the error - ""The specified path is too long - c:\program files (x86)\philip intellispace portal\program files (x86)\philips IntelliSpace portal\program files (x86)\philips IntelliSpace portal\program files (x86)\philips IntelliSpace portal\config\application\common\spectral\learnmoremanuals\zh-CN""   Retry  Cancel",ISP12 Installation of 12.1.7 client on top of 12.1.6 that just installed failed with error,,,
Software,"AWS02 does not receive Images from MRI, as reported by MRI RSE",AWS02 does not receive Images from MRI,,,
Software,01/IntelliSpace IX/LX Workstations/too many record,01/IntelliSpace IX/LX Workstations/too many record,,,
Software,Software version upgrade (12.1.7),HY:??????????????(12.1.7),,,
Software,01/IntelliSpace Portal Solutions/Add node,01/IntelliSpace Portal Solutions/Add node,,,
Software,Software not opening,Software not opening,,,
Software,Via FSE R. G?ddel onsite > deletion as user not possible - > request for clarification,As a user not possible,,,
Software,"ISP upgrade and hardware installation.
Serial Number: 703346",ISP Upgrade to v11,,,
Software,New DICOM workstation to be added to ISP,Need to add new DICOM node,,,
Software,It is not possible to send RAW and PS SERIES files when sending images from ISP to PACS.,Possibility of sending RAW and PS SERIES FILE,,,
Software,"ISP Upgrade to v12.1.5 on a new VM. Parallel upgrade, both old and new server live.",ISP Upgrade on a new VM,,,
Software,"ID problem of the ISP processing console, there is a message saying that the user account is locked.",Identifying problem,,,
Software,into,ISP12 PD doesn't show the Filming indicator for batch that created from spectral study,,,
Software,"The error box at the top says ""4DM v2018 - The system is low on resources. Movie capture failed.""
The tech was trying to take a dynamic screencap.",ISP 4DM Error,,,
Software,Quote for Pm.,PM OR?Ament,,,
Software,During log in system comes up with critical error and logs you out.,0902CDY72S09 Critical error,,,
Software,VIP address not launching - ISP down,VIP address not launching - ISP down,,,
Software,Internal case - check connection,Internal case - review connection,,,
Software,05R/Extended Brilliance Workspace/Automatic shutdown,05R/Extended Brilliance Workspace/Automatic shutdown,,,
Software,05R/IntelliSpace Portal Solutions/ can't log in,05R/IntelliSpace Portal Solutions/ can not log in,,,
Software,Wechat:SA:02N/IntelliSpace Portal Solutions/,Wechat:SA:02N/IntelliSpace Portal Solutions/,,,
Software,Can't log in to ISP,Can't log in to ISP,,,
Software,V12.1.7,V12.1.7,,,
Software,01/IntelliSpace IX/LX Workstations/add node,01/IntelliSpace IX/LX Workstations/add node,,,
Software,Wechat:SA:05R/IntelliSpace Portal Solutions,Wechat:SA:05R/IntelliSpace Portal Solutions,,,
Software,Software Stuck,Software Stuck,,,
Software,Unable to delete Patient Data in ISP System,Unable to delete Patient Data in ISP System,,,
Software,Equipment is not exporting studies to PACS after formatting performed by Philips.,Equipment is not exporting tests for the PACS after Philips format.,,,
Software,Initialization failure,Failure on Epite,,,
Software,"Portal is locking intermittently, causing loss of connection with the ""clients","Portal is presenting intermittent locking, causing connection loss with the ""clients",,,
Software,05R/IntelliSpace IX/LX Workstations/cann't login,05R/IntelliSpace IX/LX Workstations/cann't login,,,
Software,WeChat?05L/IntelliSpace Portal Solutions/Unable to log in,WeChat?05L/IntelliSpace Portal Solutions/Unable to log in,,,
Software,The password is removed when he logs in to the ISP server.,08CS:HO:ISP???login?????????????,,,
Software,05R/IntelliSpace Portal Solutions/software crash,05R/IntelliSpace Portal Solutions/software crash,,,
Software,02N/IntelliSpace Portal Solutions/Install ISP,02N/IntelliSpace Portal Solutions/Install ISP,,,
Software,01/IntelliSpace IX/LX Workstations/The system was slow,01/IntelliSpace IX/LX Workstations/The system was slow,,,
Software,05R/Extended Brilliance Workspace/software,05R/Extended Brilliance Workspace/software,,,
Software,ISP AND MND IS NOT FUNCTIONING,ISP AND MND IS NOT FUNCTIONING,,,
Software,Software Problem,Software Problem,,,
Software,01/IntelliSpace IX/LX Workstations/Slow,01/IntelliSpace IX/LX Workstations/Slow,,,
Software,"Issue: Malfunction
Error description: Since today, secondary capture images are only being transmitted isolated from the application into the Centricity PACS. 
Request for error correction.",Secondary Capture Pictures are only occasionally promoted from the application in Centricity Pacs,,,
Software,"Issue: Malfunction
Error description: One wants to evaluate, but the following error message occurs. One also cannot continue as an emergency, which would normally be possible.
Error message: The number of users is limited. 
Error occurred on: Today at c. 1:10 pm",Error message: The number of users is limited.,,,
Software,into,ISP12 MR-Cardiac load very slow on client while on the server it OK,,,
Software,into,"ISP12 MR Cardiac when using only endo contours, table results for RT Ventricle of blood pool is blank - OK for volume",,,
Software,ISP communication error appearing,ISP communication error appearing,,,
Software,ISP not launching correctly,ISP not launching correctly,,,
Software,into,"AVW 15 MR Cardiac Suite lunching crashed with error ""could not connect to AV workspace server closing application""",,,
Software,into,AVW15/MRC: Unable to Copy images from viewer to report power point and word,,,
Software,into,AVW 15 - T1 mapping application crash during MOCO stage,,,
Software,into,"AVW 15 - Play pause button form keyboard shortcut shall play and pause all viewports, and interact with images",,,
Software,muga exam not loading,muga exam not loading,,,
Software,Incisive CT Scanners Study gets split into 2 when loading onto ISP server.,Incisive CT Scanners Study gets split into 2 when loading onto ISP server.,,,
Software,SA:05K/IntelliSpace IX/LX Workstations/accout problem,SA:05K/IntelliSpace IX/LX Workstations/accout problem,,,
