PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
3202644,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not import,We cannot bring studies from our PACS server,WE CANNOT BRING STUDIES FROM OUR PACS SERVER,A
3202759,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",They can't do perfusions (Mr prostate),"They cannot do perfusions (MR Prostate) the system remains with the hourglass to load the examination, ACC 3565215, the problem presented with a patient.

Location: Villa Serena",A
3202864,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Does not load and blocks,"It is entered with logging but it does not load and it blocks.

The machine is blocked.

Location: magnetic resonance.",A
3203115,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow interface response,It is very slow until it starts,"It is very slow until it starts. 
Ground floor

Failure: immediate, since 03/13.
Intervention: call first to schedule it.
Clinical use - No",A
3204091,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Trouble processing urology in dynacad,Trouble processing urology in dynacad,A
3204209,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not stored or missing data, portion of data or did not provide result",VIP-ISSSTE-CONTRATO-CLIENTE-The team does not record the studies,VIP-ISSSTE-CONTRACT-CLIENT-THE EQUIPMENT DOES NOT RECORD THE STUDIES,A
3204369,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",01/Extended Brilliance Workspace/Consult warranty,01/Extended Brilliance Workspace/Consult warranty,A
3204457,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,01/IntelliSpace Portal Solutions/software crash,01/IntelliSpace Portal Solutions/software crash,A
3204589,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",SA:01/Brilliance Workspace Portal/unavailable,SA:01/Brilliance Workspace Portal/unavailable,A
3204708,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),05R/Extended Brilliance Workspace/system failure,05R/Extended Brilliance Workspace/system failure,A
3204778,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,SA?05R/IntelliSpace Portal Solutions/login,SA?05R/IntelliSpace Portal Solutions/login,A
3204790,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),SA:01/Upgrades IntelliSpace Portal/system fault,SA:01/Upgrades IntelliSpace Portal/system fault,A
3204905,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,05K/IntelliSpace IX/LX Workstations/SW error,05K/IntelliSpace IX/LX Workstations/SW error,A
3204963,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Dra Revilla cannot connect to the portal,"Dr. Revilla receives an error when it is connected remotely to the PC IP 10.35.53.153.
Cannot open the iportal.
Error 126 displayed. The specified module cannot be found.
Please get in touch with her to solve the problem. 629630014
Thank you",A
3205835,Software,"Data (Analysis, Processing, Transferring, Archiving)","Missing, Wrong or incorrectly presented Patient Information","Incorrect Patient Information on the image (Patient Name, ID)",Pictures of false series sent in an investigation.,"Request:
Images sent wrong series in an examination. Customer Dr. Hilbel indicates that the deletion command is disabled.",A
3206048,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Initialize,It does not start.,A
3206221,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)","isp freezing, makes cust have to reboot","isp freezing, makes cust have to reboot server",A
3206660,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",05R/IntelliSpace IX/LX Workstations/need delete patient data,05R/IntelliSpace IX/LX Workstations/need delete patient data,A
3206743,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Wechat:05R/IntelliSpace Portal Solutions/ SW ERROR,Wechat:05R/IntelliSpace Portal Solutions/ SW ERROR,A
3207041,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",Unable to delete DynaCAD studies,Unable to delete DynaCAD studies. Customer is unable to delete DynaCAD studies from within the ISP Portal Client workstation.,A
3207202,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,02N/Upgrades IntelliSpace IX/LX WrkStns/Unable to enter the system,02N/Upgrades IntelliSpace IX/LX WrkStns/Unable to enter the system,A
3207574,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,System need to be installation,System need to be installation,A
3207897,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Machine is getting hang,Machine is getting hang,A
3207902,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",Upgrade ISP 12.1.5 + .12.1.7,Upgrade ISP 12.1.5 + .12.1.7,A
3207970,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,It is not possible to log in with any account,It is not possible to log in with any account.,A
3208044,Software,"Data, Measurements, Monitoring","Incorrect, inaccurate or inconsistent data, information report or exam","Incorrect, misaligned or missing units, labels, markers, coloration or tags",Potential incorrect measurement result from ISP TAVI planning,"Potential incorrect measurement result from ISP TAVI planning. We have noticed a potentially significant difference concerning patient care and the measurement results which are provided in the TAVI PLANNING-tool, depending on which version that was actual during the time of measurement. The final TAVI-unit dimension is normally 2mm bigger than the results which are provided from splice-contour measurement in the first phase of TAVI-planning. It should be noted that in these two measurements, the measurement object is exactly the same and measurement points are set on the same. Attached two patient examples. They were never sent, they are anonymizing and sending the examples to me as-of-writing. We have used the results of unit size to make the decision on choice of valve. If this measurement is too big, this could potentially lead to a choice of wrong valve design and size which in turn can lead to aplication. This matter was brought to our attention recently since the analysis of a few patient with 3Mensio software, which results were regularly a couple of mm smaller than the measurements form our tool for choice of size of units. In other word, the results from Philips software and 3Mensio were not matching each other.",A
3208415,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Data transfer problem problem,Data transfer problem,A
3208574,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Customer has bad performance of the system,"Issue: Malfunction
Error description: Customer complains about poor performance of the system. 
- During a hospitation on the MRI, Dr. Jung von der Neurorad showed her workflow between PACS and ISP for the creation of the diffusion images for diagnosis with MS patients.
- The functionality with ISP is great, but the performance leaves much to be desired. 
- The image upload in the ISP takes 30 to 40 seconds. The time in which the donut runs is very annoying in the workflow.
Error message:-
Error occurred on: 20.03.23
Contact person: Dr. Kirsten Jung +498941407639, boxes. jung@tumde, kirsten.jung@mri.rum.de",A
3208944,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,ERROR: WORKFLOXSERVER.ERRORS.LOGINFAILED,ERROR: WORKFLOXSERVER. ERRORS. LOGINFAILED,A
3209050,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",delete data from 2 patient ids in ISP server,how to delete studies,A
3209144,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",AVW15: MV Siemens Skyra Model: MRC Suite crashes when launched with T1 and T2 series_TFS1488894,into,A
3209908,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",Upgrade V12.1.7,Upgrade V12.1.7,A
3210945,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,cardiac function auto log out,cardiac function auto log out,A
3211093,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",WECHAT:05R/Extended Brilliance Workspace/record failed,WECHAT:05R/Extended Brilliance Workspace/record failed,A
3211174,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,"Error ""Connection to report lost"".","Error ""Connection to report lost"".",A
3211207,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,configure ISP details in the modality,configure ISP details in the modality,A
3211297,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Problems with the neuroquant,"Issue: Malfunction
Description of error: Problems with the Neuroquant
Error message:-
Error occurred on: 17.03.23",A
3211348,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",ISP system is getting hang,ISP system is getting hang,A
3211586,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Interface or parts of interface not as expected or elements missing, not appearing on display",Don't work day filter,It is reported that the day filter does not work.,A
3211646,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Lobi does not work if Demar? from ISP-PACS Customer Integration,Lobi does not work if started from ISP-PACS client integration,A
3211738,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),The tower does not light up when everything is well,The tower does not turn on even though everything is connected.,A
3211870,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Slow recovering chc portal studies,"They say they detect slowness when retrieving studies in Portal. From Imaxe Support they reported the incident, they tried to download studies from different PACS and they noticed slowness in all cases. There are no studies in Error or queued in the queue administrator.",A
3211892,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,System cannot be reached,"Issue: Malfunction
Error description: 2 days in a row in the early morning, the system was not reachable. It was made hard, therefore it worked again. A check is being requested. / Additional info: Windows Server 2012.
Error message: Could not be viewed, but there were 33 error messages on the PRTG.
Error occurred on: For 2 days",A
3211994,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,CD writer not functioning and Getting Memory full error,CD writer not functioning and Getting Memory full error,A
3212051,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Customer has bad performance of the system,"Issue: Malfunction
Error description: Customer complains about poor performance of the system. 
- During a hospitation on the MRI, Dr. Jung von der Neurorad showed her workflow between PACS and ISP for the creation of the diffusion images for diagnosis with MS patients.
- The functionality with ISP is great, but the performance leaves much to be desired. 
- The image upload in the ISP takes 30 to 40 seconds. The time in which the donut runs is very annoying in the workflow.
Error message:-
Error occurred on: 20.03.23
Contact person: Dr. Kirsten Jung +498941407639, boxes. jung@tum.de, kirsten.jung@mri.tum.de",A
3212392,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),does not turn on,"It does not turn on, I open on correct IP following 0121405389",A
3212608,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Impossible to open the image sessions,"On the REMPLA1 session, impossible to open the image sessions.",A
3212949,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Shuts down or restarts unexpectedly,AVW15/MRC: Bug Rep - Crash while incorrect usage of RV Epi contours_TFS1489964,into,A
3213244,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",ISP12: Pen test: Not relevant information is displayed in logs,into,A
3213320,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Getting disk space low,Getting disk space low,A
3213363,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,ISP12: Integrate SecureRemotingScripts to ISP12.1.8,into,A
3213412,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Problems with the ISP call.,"Issue: Malfunction
Description of error: Dr. Heneweer has problems again with the call of the ISP. The system has been hanging for half an hour and nothing is happening (see below).
Request for check


SysID# 77211023 & EQ 77211023
System name: IntelliSpace Portal Concerto
System number: 62689246
Product number: 62689246
Serial number: 80001",A
3213431,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result",Data is corrupted,ISP12: MR Cardiac - Short Axes Scan from Siemens splits into 2 groups,into,A
3213615,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow interface response,is taking too long to open the multimodality view,It is taking too long to open the multimodality visualization,A
3213762,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",The system is frozen,The system froze.,A
3214049,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Login impossibility on new post -update client at 12.1.7,Impossible to login on new client post update to 12.1.7,A
3214184,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,OT338541 - Sale un error unexpected error during Worslow creation.,"OT338541 - An unexpected error appears during work creation. 
Location: Res. General, Vascular Radiology, Floor SS.",A
3214210,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,"Al acceder en la PMT a Launch Dicom, sale error ""An instance of the DICOM Configuration tool is already open""","We tried to access launch Dicom in the PMT to check if the auto-auto-start option had been disabled, but it is not possible, the following error is continuously displayed:
""An instance of the DICOM Configuration tool is already open""",A
3214240,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,It does not allow to eliminate studies or sequences (again),"As it happened a week ago (see case 0121347915), when trying to delete a study or sequence, the message appears: ""The exam is in use. Therefore, it cannot be deleted.""

We have also detected that if we have the Portal open in Workstation 1 (user1), in Workstation 2 (user2) the portal does not open (initially the application opens up to the menu to enter the password, then it stays loading indefinitely until it disappears).",A
3214328,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",ISPv10 - PACS integration dropdown list intermittent issue,"customer has iSITE and when select an exam for reading, it provides a drop down list of application. However, sometimes this drop-list does not appear and only ISP is shown as an option.",A
3214521,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",upgrade V12.1.7,Upgrade V12.1.7,A
3214606,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Equipment Problem: Configuration of the printer on the device,The Equipment's problem: configuration of the printer in the equipment,A
3214615,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Users unable to login to ISP server .182,Users unable to login to ISP server .182,A
3214944,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Communication failure with the network,Communication failure with the network,A
3215501,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Vip-client-studies arrive but not look complete,THE STUDIES ARRIVE BUT THEY ARE NOT COMPLETE,A
3216332,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result",Displayed data is inaccurate,ISP12: CT BP Brain Perfusion results are not as expected,into,A
3216545,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,01/IntelliSpace Portal Solutions/client cannot log in,01/IntelliSpace Portal Solutions/client cannot log in,A
3216812,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,CLIENT SW ERROR,CLIENT SW ERROR,A
3217160,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),05K/IntelliSpace IX/LX Workstations/software crash,05K/IntelliSpace IX/LX Workstations/software crash,A
3217226,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Problem at finds SW at the ISP,"Issue: Malfunction
Error description: Problem with diagnosis software with the ISP.
2 measuring types T1Moli + T2Map cannot be called up on the workstation of the doctors.
On the other device, these measuring types can be used and evaluated normally.
Error message: Non-labeled series recognized.
Error occurred on: 17.03.23 from approx. 09.00 am",A
3217571,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,PACS review of your station and the shipping of studies from RM1,Check the PACS of its station and the sending of studies from RM1,A
3217588,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,"You cannot access the ""Portal""","It is not able to access the ""Portal""",A
3217951,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow interface response,ISP12 AVA unlike in ISP10 it takes significant time to update vessels when editing,into,A
3218135,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Shuts down or restarts unexpectedly,ISP12 AVA sometimes crash when moving the split line in CTA Chests cases,into,A
3218137,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",There is an error in filmview application. Do you want clear filmview patient list?,There is an error in the filmview application. Do you want clear filmview patient list?,A
3218205,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Shuts down or restarts unexpectedly,ISP12: AVA sometimes kicks user out or crashing without warning,into,A
3218398,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",01/IntelliSpace IX/LX Workstations/need install software,01/IntelliSpace IX/LX Workstations/need install software,A
3218903,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,calcium scoring reports giving error message stating bug report,calcium scoring reports giving error message stating bug report,A
3219410,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,installation jetpack,Jetpack installation,A
3219815,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Cardio evaluation was deactivated,THE CARDIO EVALUATION WAS DISABLED,A
3220080,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",LAd LCA have question marks unable to understand reading/profile,LAd LCA have question marks unable to understand reading/profile,A
3220524,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Certificate error on clients,Certificate error on clients,A
3220536,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",The cardiac data won't load correctly into AutoSPECT.,The cardiac data won't load correctly into AutoSPECT.,A
3220652,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,ISP12 Concerto AutoSPECT_Pro loading incomplete data,AutoSPECT loading incomplete data. Happening on multiple workstations and multiple patients,A
3220806,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,please call 0433900023 customer is locked out from the intellispace account,please call 0433900023 customer is locked out from the intellispace account,A
3221040,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",05R/IntelliSpace Portal Solutions/add the node,05R/IntelliSpace Portal Solutions/add the node,A
3221045,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,05R/IntelliSpace IX/LX Workstations/no boot device found,05R/IntelliSpace IX/LX Workstations/no boot device found,A
3221372,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,05R/ISP/cannot open,05R/ISP/cannot open,A
3221400,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",01/IntelliSpace IX/LX Workstations/add the node,01/IntelliSpace IX/LX Workstations/add the node,A
3221767,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not export,SBI Files not sending to Portal 12,SBI Files not sending to Portal 12,A
3221797,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Cardiac MR Analysis app crashes,"Cardiac MR Analysis app crashes. Error ""Cannot find slice Global\MM_ssdsdsd on the portal server""",A
3221836,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,escalation/IntelliSpace Portal Solutions,escalation/IntelliSpace Portal Solutions,A
3221939,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,05R/IntelliSpace Portal Solutions/client,05R/IntelliSpace Portal Solutions/client,A
3222013,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ISP is not functioning,ISP is not functioning,A
3222188,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not stored or missing data, portion of data or did not provide result",Patient data record disappears,"Mr. Krzyszof Wnek via TC M. Hauke by email: 

Error message: In our ISP, the patient disappears when clicking on the raw data record and when save the images.

Request for error containment",A
3222470,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Interface log,HL7 - cutting point test,HL7 - Interface test,A
3222554,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ISP - ANTONY - ACCISE PROBLEM ON Certain positions,The application does not open on all the stations.,A
3222627,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Does not load the exams,The workstation does not load the examinations.,A
3222940,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Customer connection impossibility/server,It is reported that the connection between client and server is impossible.,A
3222962,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,ISP - Paris poplars - Numerous transfers in the,"Indicates a malfunction, several cases have failed since this morning. 
14 cases waiting to send to the PACS and 590 files in failure and impossible to delete, no access",A
3223146,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Interface or parts of interface not as expected or elements missing, not appearing on display",ISP12 AVA when creating manual batch the preview screen is black,into,A
3223867,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,ISP12 CT CS Preferences for Mesa not saved for the next login,into,A
3223927,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,Preparations for upgrade on V12,Preparations for upgrade to V12,A
3224276,Software,"Data, Measurements, Monitoring","Incorrect, inaccurate or inconsistent data, information report or exam","Incorrect, misaligned or missing units, labels, markers, coloration or tags",MR Cardiac short Axis scan has sequences 9-19 series number.  When going into MR Cardiac the sequences divide into 2...,"MR Cardiac short Axis scan has sequences 9-19 series number.  When going into MR Cardiac the sequences divide into 2 groups 9-13, 14-19.
The sequences were taken at one time and there was not a stop or start with the acquistion.  this is from the Siemens Aera and they perform scans on this system as their main magnet and did not have this issue before.
To duplicate
1.  Launch SAS data into MR Cardiac Analysis
2.  In Cardiac Viewer it splits data into 2 groups
3.  In the labeling stage it also splits data into the 2 groups
4.  Site is not able to get the SAS information from the sequences and will need to bring patient back",A
3224474,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Error in the identification of studies of two different patients,"Error in the identification of the studies from two different patients
Location: Cardiologia",A
3224563,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Rif Proattiva 0120970828 Remote Alert: System RAM exceed normal performance threshold,Remote Alert: System RAM exceeds normal performance threshold,A
3224570,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,75627293 ISSUE WITH DR PROFILE IN ISP NOT ABLE TO PULL UP PHASES,75627293 ISSUE WITH DR PROFILE IN ISP NOT ABLE TO PULL UP PHASES,A
3224691,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),CT Viewer Batching will sometimes crash,"when creating several batches in CT Viewer, it indicates it is saving but then when trying to exit a pop says still saving.   It will not allow exit.   when you finally do exit, the last batch is not there.",A
3224697,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Interface or parts of interface not as expected or elements missing, not appearing on display",Done Button in AVA is in the way of editing and extending vessels,Done Button in AVA is in the way of editing and extending vessels,A
3224944,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,SW Portal Installation Client,Installation of software Portal client in the client's computer.,A
3224979,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,need help with setting up their preferences GE and add cool color,need help with setting up their preferences GE and add cool color,A
3225184,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Users are unable to login past 1 user,Users are unable to login past 1 user,A
3225215,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Coodor not saving to local //Head studied taking 7.4 min to load speed issue,Coodor not saving to local //Head studied taking 7.4 min to load speed issue,A
3225630,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,VIP-IMSS-CLIENTE-CAMBIO DE IP DE ESTACION DE TRABAJO,VIP-IMSS-CLIENT-CHANGE THE IP OF THE WORKSTATION,A
3225789,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",Need a node set up for new Cannon scanner,Need a node set up for new Cannon scanner,A
3225968,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Wechat?05R/IntelliSpace Portal Solutions/The so,Wechat?05R/IntelliSpace Portal Solutions/The so,A
3226050,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,"When trying to record Dvd-R album, a message appears almost immediately announcing that the album is recorded without ...","WHEN TRYING TO RECORD A DVD-R DISK, A MESSAGE APPEARS ALMOST IMMEDIATELY TO SAY THAT THE DISK IS RECORDED WITHOUT THIS BEING CORRECT, THIS LEAVES US WITH NO POSSIBILITY OF RECORDING THE STUDIES",A
