PR ID,Project,Short Description,Reported Problem Code L0,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Problem Source Code-L1,Problem Reason Code-L2,
5588770,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,URGENT: Shutdown of Bogenhausen data center,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5588788,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Intellispace portal intermittently freezes and then shuts down.  Once rebooted it flagged bug report prompt....,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Use Error,Other use error
5588908,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/Intellispace Portal IX/system slow,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Software,Software Issues (e.g. bugs)
5588993,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/IntelliSpace IX/LX Workstations/add printer,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Missing or incorrect,Database,Database Full/Corrupt
5589039,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,KA:05R/IntelliSpace Portal Solutions/ disk fault,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Computer
5589094,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,The images are blocked so the doctor cannot interpret them anymore due to the slow-down.,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Database,Database Full/Corrupt
5589153,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,User rights modification (Need extra user rights & autodelete is not working ),"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Configuration,Configuration Issues
5589182,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Occasional problem angio tc,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Software,Software/Firmware Settings and Configuration
5589198,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/IntelliSpace IX/LX Workstations/add printer,Duplicate Complaint,Duplicate Complaint,into,,
5589657,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Intermittend unable to open Angio CT studies,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ICAP-CT Viewer,Reliability
5589890,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Ticket 2979875 - HUN PHILIPS PORTAL DOES NOT WORK WELL AND IT IS VERY URGENT TO FIX IT,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,ICAP-System General,Functional - Performance
5589946,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Install a new NODE,Non-Complaint,Non-Complaint,into,,
5590297,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Three isp password showing wrong,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Software,User access
5590321,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Liver segmentation problems,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,No problem found
5590344,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,client is not getting on,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ICAP-Hardware,Computer
5590423,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP system not switching off,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Confirmed,Restart resolved
5590958,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Cases cannot be searched in ISCV from the new ISP.,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5591044,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,It turns off by itself.,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",,
5591096,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Report workstation is crashing in the restricted application,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Corrupt/Crashed
5591123,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Certificate Expired,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate
5591195,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,1382928 - IntelliSpace application does not open.,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Server,Restart resolved
5591327,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Customer need to know how to use measurements tools,Non-Complaint,Non-Complaint,into,,
5591329,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,the customer states the back up system is failing for the last few months,"Software, OS or firmware",Cannot not backup or restore,into,,
5591387,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"This device is OPERATIONAL, but I just have a TECHNICAL question that I would like to be answered",Non-Complaint,Non-Complaint,into,,
5591976,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Configuration Error - Configure printer,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Configuration,Configuration Issues
5592016,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,server  idrac  questions,Non-Complaint,Non-Complaint,into,,
5592169,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Study not loading in DynaCad application in Intellispace Portal,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Use Error,Other use error
5592380,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,"import data from CD to AVW, Number of simultaneous users who can be connected","Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not import,Software,Failure on import/exports
5592531,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,DYNACAD: MR studies are not processing,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Database,Database Full/Corrupt
5592562,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,SSL certificate has expired,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate
5592563,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/Extended Brilliance Workspace/LCD screen flash,Displays & Monitors,Monitor/display has partial screen or works intermittently,into,ICAP-Hardware,Monitor
5592584,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Pet study will not launch in comparison in NMV.,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Compatibility,Software Incompatibility
5592742,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Wechat:02N/Upgrades IntelliSpace Portal/ISP fault led lit,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Confirmed,Restart resolved
5592821,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Time is inaccurate.,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Configuration,Configuration Issues
5593009,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,Images didn't delete by auto.,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",Configuration,Configuration Issues
5593133,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Wechat:01/Upgrades IntelliSpace Portal/cannot login,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5593182,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP 12 05K/IntelliSpace Portal Solutions/HDD defective,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive
5593238,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,01/IntelliSpace IX/LX Workstations/Print failed,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Printing quality not as expected,Software,Software Issues (e.g. bugs)
5593246,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"ct cardiac workstation, need update",Non-Complaint,Non-Complaint,into,,
5593254,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,OCAP:05R/Extended Brilliance Workspace/Relocate the HOST,Non-Complaint,Non-Complaint,into,,
5593422,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Request from the employee (demo switch),Non-Complaint,Non-Complaint,into,,
5593423,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/ISP/add DICOM nodes,Non-Complaint,Non-Complaint,into,,
5593466,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"ISP was unable to print, other operation normal.","Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Printing quality not as expected,Confirmed,Restart resolved
5593521,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,2 Services won't start,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),EDI - Server/UDM,Crash/Down
5593960,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,"Database connection error, it does not allow to access the user.","Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Software,Software/Firmware Settings and Configuration
5593988,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Can't access ISP,  Add two new WS - Hospital Quiron Salud Malaga (Quiron Salud Malaga Hospital)","Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Configuration,Configuration Issues
5594056,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,6600711582.01/assembly by a partner,Non-Complaint,Non-Complaint,into,,
5594073,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,the system has reached its capacity limitation,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,,
5594102,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"multiple errors when using intellispace on a remote ""work from home"" workstation",Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,
5594305,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CD recorder does not work.,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5594352,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,system is giving an issue with the calcium score application,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",into,,
5594468,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Having issue with a workstation/autocon is not working,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5594470,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,The process queue in the Queue Manager is not processed because new studies are constantly arriving.,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,
5594568,Clinical Informatics-ICAP-Haifa-146,Complaint,Hardware,"Displays an error when switching on, does not allow performing studies",Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,
5594648,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"THERE IS NO PRINTER RECORD, THEY NEED TO BE SET UP.","Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Missing or incorrect,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5594934,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Workstation responds slowly,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Software,Software Issues (e.g. bugs)
5594990,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/Extended Brilliance Workspace/blue screen,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Software,Software Issues (e.g. bugs)
5594993,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,Unable to access software.,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Software,Software malfunction
5595023,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,KA:05L/IntelliSpace Portal Solutions/cannot login,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Confirmed,Restart resolved
5595037,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,There was an issue in image transmission.,Imaging and Images,Image routing,Cannot route image,Non-Philips Product/ Accessories,Non- Philips Product
5595079,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,There was a workstation image transmission problem.,Imaging and Images,Image routing,Cannot route image,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5595164,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,WeChat?01/IntelliSpace IX/LX Workstations/Unable to power on,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5596086,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Problems with the graphics card.,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Computer
5596109,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Cannot login to ISP,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,ICAP-Portal client,User access/Login
5596301,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,Cant sent images to workstation.,Imaging and Images,Image routing,Cannot route image,Compatibility,Software Incompatibility
5596480,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP Client installation is requested.,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ICAP-Portal client,Client Software
5596708,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,The system is down. The start-up device was not found.,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ICAP-Hardware,Disk Drive
5596990,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CAMERA ADDITION,Non-Complaint,Non-Complaint,into,,
5597047,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,AVW 15 MR cardiac app has been wont load MR studys.,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,
5597091,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Low disk space warning on D drive,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Database,Database Full/Corrupt
5597092,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,server time out of sync,"Software, OS or firmware",Date and/or time is not updating or incorrect,into,Software,Software/Firmware Settings and Configuration
5597156,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CD Writer not functioning,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD)
5597417,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Cd drive not functioning,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD)
5597426,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Investigations cannot be opened with IntelliSpace Portal,Duplicate Complaint,Duplicate Complaint,into,,
5597443,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,The AVW cannot be used by several workstations and by several employee accounts.,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Confirmed,Restart resolved
5597581,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Investigations cannot be opened with IntelliSpace Portal,Imaging and Images,Cannot view or access image(s),into,Configuration,Configuration Issues
5597738,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,[ISP] Alert about lack of space - The ISP application tells us that it is full and that we should delete studies.,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Database,Database Full/Corrupt
5597791,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Sending from any of the two resonances to the portal or dynacad does not work.,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,ICAP-MR DynaCAD,Functional - Performance
5597822,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Problems by validating users at the Intellispace Portal - General Hospital of Alicante,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,Confirmed,Restart resolved
5597961,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,"AVA Fails to run bone removal one dataset, getting bug report error. “Attempted to divided by zero” appears",Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,Software,Software Issues (e.g. bugs)
5598062,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,THE EQUIPMENT DOES NOT TURN ON,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,No problem found
5598397,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Customer has a question about win 10/11 with ISP v12.1.6.,Non-Complaint,Non-Complaint,into,,
5598840,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP issue with worklists and prior studies,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Software,Software/Firmware Settings and Configuration
5599060,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/IntelliSpace IX/LX Workstations/DICOM setting,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",into,,
5599193,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,User needs to turn on remote registry service,Non-Complaint,Non-Complaint,into,,
5599199,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,01/Ingenuity CT 728326/image transfer issuse,Imaging and Images,Image routing,Cannot route image,EDI - Study Management,Study Migration/ Migration filters
5599346,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Getting bug report error and ISP getting hang,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Software,Configuration - Incompatible
5599449,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,can not send images to PACS,Imaging and Images,Image routing,Cannot route image,Database,Database Full/Corrupt
5599456,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CT Viewer: Not able to scroll when you are at the most superior or inferior end of the volume and then increase the slic,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5599464,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Wechat:05R/IntelliSpace IX/LX Workstations/cannot login,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,ICAP-Portal client,Resolved by SW Reinstall
5599873,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CD writer is not functioning,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Confirmed,Restart resolved
5599935,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Unable to login to ISP,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,ICAP-Portal Server,O.S. Software
5600016,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,CT 3500 - Data is not being sent to Philips CT 3500 Station Iasi Recovery Hospital,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Confirmed,Restart resolved
5600092,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,printer not connecting,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Network - Communication,Network configuration issue
5600128,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,02N/IntelliSpaceIX/LXWorkstations//Add DICOM Node,Non-Complaint,Non-Complaint,into,,
5600214,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"05R/IntelliSpace Portal Solutions/disk full, there was not enough disk space","Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive
5600292,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Network to be configuration done,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Network - Communication,Network configuration issue
5600321,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,printer is not getting connect,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Hardware/Equipment,Electrical Parts - Component Failure
5600481,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP - LAMBLES LEZ DOUAI - RIS Filtering Problem,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",ICAP-System General,Functional - Multi-Vendor
5600544,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,It crashed with a lot of images.,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Unable to Confirm/Replicate Allegation,No problem found
5600546,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Request for configuration,Non-Complaint,Non-Complaint,into,,
5600583,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Renew the ISP certificate,Non-Complaint,Non-Complaint,into,,
5600673,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Can not open study in DynaCAD,Imaging and Images,Cannot view or access image(s),into,EDI - Study Management,Study Migration/ Migration filters
5600860,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Crash at the start of the cardiac suite for some Cardio RM exams,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",EDI - Study Management,
5600883,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,When opening the expectral application it gives an error.,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,ICAP-CT Spectral General,Functional - Performance
5600888,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"I request PACS configuration on the ""Portal"" computer.","Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",into,,
5601116,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,cannot open MR mammo perfusion images,Imaging and Images,Cannot view or access image(s),into,Use Error,Other use error
5601215,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Impossible to access the server remotely.,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,ICAP-System General,Functional - Performance
5601443,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,Image data can no longer be sent.,Imaging and Images,Image routing,Cannot route image,ICAP-Hardware,Disk Drive
5601470,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,System beeps,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Unable to Confirm/Replicate Allegation,No problem found
5601800,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,when selecting patient and going in to have it  processed device is receiving certificate error,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate
5602187,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,It does not load the data.,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Software,User access
5602312,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,THE SYSTEM CANNOT BE ACCESSED.,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,No problem found
5602324,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,DURING PREVENTIVE MAINTENANCE THEY DETECTED A PROBLEM WITH THE CPU OF THE ACQUISITION WORK. THERE IS NO CONNECTION BETWE,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Main Power Supply,Power failure
5602375,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Configure the equipment's IP.,Non-Complaint,Non-Complaint,into,,
5602379,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,User unable to use preogram,"Software, OS or firmware","Greyed out item on software interface, cannot click item on interface, or not available",into,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5602707,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,system will crash when trying to open studies,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Server,Restart resolved
5602832,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,cardiac MRI module with mapping showed error,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,
5603339,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,DYNACAD queue stopped - nothing is being processed,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Database,Database Full/Corrupt
5603542,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Unable to use the CT Liver app,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ICAP-CT Liver Analysis,Usability - Workflow
5603607,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,WeChat:01/IntelliSpaceIX/LXWorkstations/Repeat call,Duplicate Complaint,Duplicate Complaint,into,,
5604033,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Memory is 90% plus consistently for the past hour - ISP AVW,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,Confirmed,Restart resolved
5604514,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,02N/IntelliSpace Portal Solutions/image open slow,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",Network - Communication,Network configuration issue
5604877,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05R/ISP//Add DICOM node,Non-Complaint,Non-Complaint,into,,
5605013,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,PC is not booting up.,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Use Error,Other use error
5605018,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Connection problem,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Network - Communication,Customer Network issue
5605024,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,application error,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,
